energy_%,bpm,danceability_%,liveness_%,valence_%,speechiness_%,instrumentalness_%
0.593,119.958,0.79,0.065,0.72,0.0776,0.00202
0.766,127.975,0.735,0.108,0.6,0.0383,0.00141
0.51,119.994,0.829,0.0829,0.45,0.0369,0.00143
0.869,127.966,0.616,0.064,0.473,0.0327,0.0
0.915,126.094,0.544,0.115,0.51,0.0841,0.000914
0.741,119.896,0.72,0.289,0.357,0.0287,1.41e-05
0.697,122.746,0.613,0.332,0.476,0.133,0.0
0.634,113.927,0.704,0.0952,0.411,0.0428,3.17e-05
0.861,117.965,0.73,0.213,0.704,0.0451,0.0
0.989,126.002,0.621,0.184,0.0348,0.0434,0.357
0.805,126.008,0.506,0.0856,0.383,0.0469,0.00193
0.695,104.879,0.583,0.0527,0.224,0.0423,0.0
0.862,128.036,0.498,0.352,0.469,0.0588,0.00918
0.857,119.975,0.56,0.381,0.432,0.0384,0.0
0.781,128.0,0.509,0.0749,0.176,0.072,0.0
0.73,85.979,0.596,0.325,0.525,0.151,0.0
0.568,117.973,0.78,0.0698,0.459,0.031,0.000168
0.463,121.999,0.778,0.0731,0.496,0.0389,0.00289
0.774,112.05,0.674,0.393,0.33,0.0892,0.00188
0.81,126.052,0.572,0.13,0.11,0.0558,6.53e-06
0.781,119.977,0.751,0.036,0.814,0.0862,0.0
0.586,120.97,0.799,0.193,0.549,0.0377,2.03e-06
0.72,122.031,0.789,0.129,0.664,0.218,0.0
0.62,120.031,0.798,0.112,0.235,0.232,0.0192
0.622,102.04,0.69,0.116,0.544,0.0622,0.0
0.736,130.011,0.75,0.265,0.355,0.155,0.0
0.802,100.001,0.713,0.309,0.343,0.0561,0.00377
0.906,125.916,0.711,0.153,0.824,0.0284,1.64e-05
0.921,130.072,0.691,0.331,0.8,0.0533,0.0
0.795,121.294,0.956,0.0906,0.841,0.15,0.889
0.833,129.885,0.551,0.0632,0.145,0.03,2.77e-06
0.817,128.078,0.883,0.11,0.595,0.235,0.00449
0.748,125.896,0.503,0.343,0.356,0.0619,0.0
0.392,75.066,0.599,0.131,0.26,0.0257,0.000107
0.604,159.92,0.561,0.104,0.242,0.0337,1.9e-05
0.473,152.88,0.591,0.108,0.451,0.0708,0.00334
0.592,157.969,0.521,0.122,0.535,0.0304,0.0
0.507,104.978,0.747,0.117,0.438,0.0358,0.0608
0.582,116.712,0.7,0.0881,0.785,0.0356,0.0
0.76,103.969,0.701,0.185,0.69,0.0285,6.54e-05
0.604,159.92,0.561,0.104,0.242,0.0337,1.9e-05
0.882,148.038,0.569,0.142,0.201,0.06,0.0
